DATE,LES1252881500Q,CPIAUCSL
1979-01-01,232,69.2000000000000000
1979-04-01,239,71.4000000000000000
1979-07-01,243,73.7000000000000000
1979-10-01,248,76.0333333333333333
1980-01-01,254,79.0333333333333333
1980-04-01,257,81.7000000000000000
1980-07-01,266,83.2333333333333333
1980-10-01,269,85.5666666666666667
1981-01-01,276,87.9333333333333333
1981-04-01,279,89.7666666666666667
1981-07-01,285,92.2666666666666667
1981-10-01,292,93.7666666666666667
1982-01-01,295,94.6000000000000000
1982-04-01,301,95.9666666666666667
1982-07-01,303,97.6333333333333333
1982-10-01,306,97.9333333333333333
1983-01-01,309,98.0000000000000000
1983-04-01,311,99.1333333333333333
1983-07-01,316,100.1000000000000000
1983-10-01,316,101.1000000000000000
1984-01-01,321,102.5333333333333333
1984-04-01,323,103.5000000000000000
1984-07-01,327,104.4000000000000000
1984-10-01,333,105.3000000000000000
1985-01-01,334,106.2666666666666667
1985-04-01,347,107.2333333333333333
1985-07-01,345,107.9000000000000000
1985-10-01,348,109.0000000000000000
1986-01-01,352,109.5666666666666667
1986-04-01,358,109.0333333333333333
1986-07-01,359,109.7000000000000000
1986-10-01,365,110.4666666666666667
1987-01-01,366,111.8000000000000000
1987-04-01,371,113.0666666666666667
1987-07-01,377,114.2666666666666667
1987-10-01,378,115.3333333333333333
1988-01-01,382,116.2333333333333333
1988-04-01,382,117.5666666666666667
1988-07-01,387,119.0000000000000000
1988-10-01,390,120.3000000000000000
1989-01-01,393,121.6666666666666667
1989-04-01,398,123.6333333333333333
1989-07-01,401,124.6000000000000000
1989-10-01,406,125.8666666666666667
1990-01-01,408,128.0333333333333333
1990-04-01,412,129.3000000000000000
1990-07-01,412,131.5333333333333333
1990-10-01,417,133.7666666666666667
1991-01-01,426,134.7666666666666667
1991-04-01,423,135.5666666666666667
1991-07-01,427,136.6000000000000000
1991-10-01,430,137.7333333333333333
1992-01-01,437,138.6666666666666667
1992-04-01,438,139.7333333333333333
1992-07-01,443,140.8000000000000000
1992-10-01,443,142.0333333333333333
1993-01-01,450,143.0666666666666667
1993-04-01,457,144.1000000000000000
1993-07-01,461,144.7666666666666667
1993-10-01,465,145.9666666666666667
1994-01-01,463,146.7000000000000000
1994-04-01,467,147.5333333333333333
1994-07-01,467,148.9000000000000000
1994-10-01,470,149.7666666666666667
1995-01-01,473,150.8666666666666667
1995-04-01,477,152.1000000000000000
1995-07-01,484,152.8666666666666667
1995-10-01,482,153.7000000000000000
1996-01-01,484,155.0666666666666667
1996-04-01,488,156.4000000000000000
1996-07-01,493,157.3000000000000000
1996-10-01,496,158.6666666666666667
1997-01-01,499,159.6333333333333333
1997-04-01,502,160.0000000000000000
1997-07-01,504,160.8000000000000000
1997-10-01,508,161.6666666666666667
1998-01-01,516,162.0000000000000000
1998-04-01,518,162.5333333333333333
1998-07-01,525,163.3666666666666667
1998-10-01,538,164.1333333333333333
1999-01-01,533,164.7333333333333333
1999-04-01,546,165.9666666666666667
1999-07-01,551,167.2000000000000000
1999-10-01,564,168.4333333333333333
2000-01-01,568,170.1000000000000000
2000-04-01,572,171.4333333333333333
2000-07-01,579,173.0000000000000000
2000-10-01,581,174.2333333333333333
2001-01-01,585,175.9000000000000000
2001-04-01,594,177.1333333333333333
2001-07-01,601,177.6333333333333333
2001-10-01,603,177.5000000000000000
2002-01-01,607,178.0666666666666667
2002-04-01,608,179.4666666666666667
2002-07-01,608,180.4333333333333333
2002-10-01,610,181.5000000000000000
2003-01-01,615,183.3666666666666667
2003-04-01,619,183.0666666666666667
2003-07-01,621,184.4333333333333333
2003-10-01,623,185.1333333333333333
2004-01-01,629,186.7000000000000000
2004-04-01,642,188.1666666666666667
2004-07-01,635,189.3666666666666667
2004-10-01,646,191.4000000000000000
2005-01-01,647,192.3666666666666667
2005-04-01,647,193.6666666666666667
2005-07-01,651,196.6000000000000000
2005-10-01,658,198.4333333333333333
2006-01-01,662,199.4666666666666667
2006-04-01,663,201.2666666666666667
2006-07-01,678,203.1666666666666667
2006-10-01,681,202.3333333333333333
2007-01-01,687,204.3170000000000000
2007-04-01,693,206.6310000000000000
2007-07-01,698,207.9390000000000000
2007-10-01,700,210.4896666666666667
2008-01-01,713,212.7696666666666667
2008-04-01,722,215.5376666666666667
2008-07-01,724,218.8610000000000000
2008-10-01,727,213.8486666666666667
2009-01-01,732,212.3776666666666667
2009-04-01,737,213.5070000000000000
2009-07-01,742,215.3440000000000000
2009-10-01,747,217.0300000000000000
2010-01-01,748,217.3740000000000000
2010-04-01,742,217.2973333333333333
2010-07-01,746,217.9343333333333333
2010-10-01,750,219.6990000000000000
2011-01-01,750,222.0436666666666667
2011-04-01,754,224.5683333333333333
2011-07-01,760,226.0326666666666667
2011-10-01,760,227.0473333333333333
2012-01-01,764,228.3260000000000000
2012-04-01,772,228.8080000000000000
2012-07-01,766,229.8410000000000000
2012-10-01,771,231.3693333333333333
2013-01-01,768,232.2993333333333333
2013-04-01,777,232.0450000000000000
2013-07-01,779,233.3000000000000000
2013-10-01,782,234.1626666666666667
2014-01-01,790,235.6210000000000000
2014-04-01,781,236.8723333333333333
2014-07-01,798,237.4783333333333333
2014-10-01,795,236.8883333333333333
2015-01-01,802,235.3550000000000000
2015-04-01,803,236.9600000000000000
2015-07-01,809,237.8550000000000000
2015-10-01,821,237.8370000000000000
2016-01-01,823,237.6893333333333333
2016-04-01,828,239.5903333333333333
2016-07-01,834,240.6073333333333333
2016-10-01,845,242.1346666666666667
2017-01-01,858,243.8386666666666667
2017-04-01,863,244.1200000000000000
2017-07-01,864,245.2870000000000000
2017-10-01,854,247.2383333333333333
2018-01-01,875,249.3216666666666667
2018-04-01,881,250.6790000000000000
2018-07-01,891,251.6863333333333333
2018-10-01,897,252.7110000000000000
2019-01-01,899,253.3856666666666667
2019-04-01,914,255.2473333333333333
2019-07-01,921,256.0893333333333333
2019-10-01,934,257.8880000000000000
2020-01-01,951,258.7673333333333333
2020-04-01,1008,256.3260000000000000
2020-07-01,995,259.2416666666666667
2020-10-01,983,261.0496666666666667
2021-01-01,983,263.6703333333333333
2021-04-01,996,268.6226666666666667
2021-07-01,1002,272.8900000000000000
2021-10-01,1009,278.6803333333333333
2022-01-01,1032,284.8260000000000000
2022-04-01,1048,291.7063333333333333
2022-07-01,1071,295.5090000000000000
2022-10-01,1083,298.4410000000000000
2023-01-01,1095,301.2030000000000000
2023-04-01,1107,303.4666666666666667
2023-07-01,1119,306.0343333333333333
2023-10-01,1142,308.0990000000000000
