DATE,PCEC96,DSPIC96
2007-01-01,11181.0,11956.6
2007-02-01,11178.2,11996.0
2007-03-01,11190.7,12035.1
2007-04-01,11201.5,12052.8
2007-05-01,11218.0,12059.9
2007-06-01,11218.5,12053.3
2007-07-01,11252.6,12066.4
2007-08-01,11300.1,12070.9
2007-09-01,11309.6,12089.6
2007-10-01,11318.6,12080.4
2007-11-01,11342.2,12070.1
2007-12-01,11335.1,12120.5
2008-01-01,11333.2,12137.1
2008-02-01,11293.9,12141.8
2008-03-01,11322.1,12145.9
2008-04-01,11340.5,12100.8
2008-05-01,11361.6,12696.2
2008-06-01,11340.7,12376.6
2008-07-01,11286.0,12188.7
2008-08-01,11284.7,12120.6
2008-09-01,11209.7,12149.0
2008-10-01,11192.5,12240.5
2008-11-01,11158.2,12345.9
2008-12-01,11125.8,12288.8
2009-01-01,11176.3,12361.5
2009-02-01,11130.5,12241.9
2009-03-01,11084.6,12242.7
2009-04-01,11068.0,12320.0
2009-05-01,11078.1,12500.1
2009-06-01,11081.1,12273.2
2009-07-01,11118.1,12218.7
2009-08-01,11218.0,12194.8
2009-09-01,11114.6,12230.6
2009-10-01,11127.1,12193.2
2009-11-01,11109.4,12224.4
2009-12-01,11177.3,12280.2
2010-01-01,11156.8,12285.8
2010-02-01,11198.6,12292.0
2010-03-01,11252.1,12340.3
2010-04-01,11275.1,12447.1
2010-05-01,11303.2,12540.3
2010-06-01,11330.6,12544.3
2010-07-01,11361.7,12554.2
2010-08-01,11389.2,12591.4
2010-09-01,11399.9,12589.9
2010-10-01,11428.9,12592.5
2010-11-01,11458.0,12605.1
2010-12-01,11473.2,12680.6
2011-01-01,11486.0,12740.1
2011-02-01,11482.8,12776.6
2011-03-01,11522.6,12742.7
2011-04-01,11508.9,12721.3
2011-05-01,11495.6,12705.3
2011-06-01,11522.3,12756.9
2011-07-01,11542.3,12805.6
2011-08-01,11535.3,12799.7
2011-09-01,11554.3,12781.7
2011-10-01,11575.1,12791.9
2011-11-01,11555.7,12782.7
2011-12-01,11560.9,12898.5
2012-01-01,11605.5,12967.5
2012-02-01,11675.8,13029.6
2012-03-01,11660.5,13066.4
2012-04-01,11671.4,13116.5
2012-05-01,11672.0,13112.5
2012-06-01,11659.9,13097.2
2012-07-01,11684.4,12999.8
2012-08-01,11686.7,12961.6
2012-09-01,11703.2,13053.1
2012-10-01,11702.3,13142.0
2012-11-01,11753.4,13315.7
2012-12-01,11758.3,13642.7
2013-01-01,11810.6,12845.5
2013-02-01,11808.6,12813.9
2013-03-01,11823.8,12852.1
2013-04-01,11826.4,12893.4
2013-05-01,11860.1,12954.2
2013-06-01,11857.7,12955.7
2013-07-01,11872.3,12941.8
2013-08-01,11890.3,12969.6
2013-09-01,11926.1,13027.5
2013-10-01,11964.6,12974.6
2013-11-01,12013.7,12998.9
2013-12-01,12024.7,13019.1
2014-01-01,11985.0,13079.5
2014-02-01,12039.4,13148.0
2014-03-01,12108.3,13219.9
2014-04-01,12128.1,13270.2
2014-05-01,12154.5,13312.9
2014-06-01,12197.1,13360.4
2014-07-01,12223.6,13386.8
2014-08-01,12306.5,13445.9
2014-09-01,12310.2,13486.3
2014-10-01,12389.1,13550.7
2014-11-01,12420.6,13624.4
2014-12-01,12455.1,13719.1
2015-01-01,12484.7,13797.7
2015-02-01,12514.1,13848.0
2015-03-01,12551.8,13811.3
2015-04-01,12574.8,13842.0
2015-05-01,12612.7,13865.6
2015-06-01,12621.6,13874.1
2015-07-01,12668.4,13905.7
2015-08-01,12699.7,13935.8
2015-09-01,12707.2,13972.2
2015-10-01,12715.9,13996.9
2015-11-01,12737.0,13993.4
2015-12-01,12777.3,14060.2
2016-01-01,12798.7,14121.1
2016-02-01,12884.0,14135.3
2016-03-01,12836.1,14135.4
2016-04-01,12870.2,14106.2
2016-05-01,12891.2,14095.5
2016-06-01,12948.6,14104.9
2016-07-01,12972.2,14160.1
2016-08-01,12986.1,14176.7
2016-09-01,13020.9,14209.1
2016-10-01,13014.9,14235.4
2016-11-01,13036.8,14273.6
2016-12-01,13128.5,14313.7
2017-01-01,13136.3,14373.7
2017-02-01,13143.4,14416.8
2017-03-01,13201.7,14476.3
2017-04-01,13206.1,14509.3
2017-05-01,13214.5,14610.7
2017-06-01,13256.7,14618.7
2017-07-01,13290.1,14660.2
2017-08-01,13291.7,14678.3
2017-09-01,13364.4,14706.0
2017-10-01,13377.0,14748.6
2017-11-01,13450.3,14771.1
2017-12-01,13555.4,14797.9
2018-01-01,13541.3,14886.6
2018-02-01,13547.3,14921.1
2018-03-01,13586.5,14974.8
2018-04-01,13598.7,15007.2
2018-05-01,13640.5,15057.8
2018-06-01,13653.7,15119.3
2018-07-01,13682.7,15184.7
2018-08-01,13711.5,15238.6
2018-09-01,13687.1,15237.5
2018-10-01,13727.1,15274.1
2018-11-01,13800.3,15315.2
2018-12-01,13682.3,15506.5
2019-01-01,13716.5,15501.7
2019-02-01,13723.1,15553.7
2019-03-01,13818.2,15568.9
2019-04-01,13813.1,15524.4
2019-05-01,13866.1,15519.6
2019-06-01,13909.1,15546.4
2019-07-01,13968.4,15565.7
2019-08-01,14013.2,15654.1
2019-09-01,14029.7,15691.3
2019-10-01,14029.1,15718.1
2019-11-01,14115.4,15778.2
2019-12-01,14137.1,15684.8
2020-01-01,14184.8,15852.5
2020-02-01,14167.8,15918.0
2020-03-01,13234.3,15696.3
2020-04-01,11783.3,18020.2
2020-05-01,12758.0,17104.6
2020-06-01,13464.8,17035.0
2020-07-01,13667.3,17193.2
2020-08-01,13761.1,16525.8
2020-09-01,13953.4,16607.9
2020-10-01,13988.6,16561.9
2020-11-01,13953.9,16368.1
2020-12-01,14006.3,16406.1
2021-01-01,14180.7,18107.3
2021-02-01,14037.8,16604.9
2021-03-01,14629.3,20422.6
2021-04-01,14730.7,17316.6
2021-05-01,14689.6,16819.1
2021-06-01,14816.4,16736.3
2021-07-01,14784.0,16836.1
2021-08-01,14863.0,16791.7
2021-09-01,14899.4,16564.3
2021-10-01,14997.3,16547.4
2021-11-01,15019.2,16499.8
2021-12-01,14970.4,16418.5
2022-01-01,14971.1,16080.8
2022-02-01,14980.6,16092.7
2022-03-01,15034.0,16028.1
2022-04-01,15081.7,16042.6
2022-05-01,15060.0,16023.2
2022-06-01,15065.8,15963.4
2022-07-01,15069.1,16109.3
2022-08-01,15136.3,16161.4
2022-09-01,15176.7,16184.9
2022-10-01,15202.7,16223.5
2022-11-01,15149.8,16229.6
2022-12-01,15161.7,16265.1
2023-01-01,15317.6,16601.9
2023-02-01,15325.5,16656.1
2023-03-01,15295.4,16730.2
2023-04-01,15316.9,16763.9
2023-05-01,15337.4,16818.5
2023-06-01,15376.3,16809.5
2023-07-01,15448.3,16816.4
2023-08-01,15439.8,16826.2
2023-09-01,15496.0,16816.3
2023-10-01,15519.9,16847.8
2023-11-01,15584.3,16912.1
2023-12-01,15655.8,16946.5
2024-01-01,15621.6,16946.7
2024-02-01,15688.7,16931.6
