date,infrate,unrate
1960,1.4927683333333333,5.541666666666667
1961,1.0716766666666666,6.691666666666666
1962,1.1758758333333332,5.566666666666666
1963,1.2560016666666667,5.641666666666667
1964,1.3227625,5.158333333333333
1965,1.5780216666666667,4.508333333333333
1966,2.9872658333333333,3.7916666666666665
1967,2.7843483333333334,3.8416666666666663
1968,4.241318333333333,3.5583333333333336
1969,5.4326475,3.4916666666666667
1970,5.8879166666666665,4.983333333333333
1971,4.2334241666666665,5.95
1972,3.2739475,5.6
1973,6.2431725,4.858333333333333
1974,10.99054,5.641666666666667
1975,9.1881775,8.475
1976,5.783746666666667,7.7
1977,6.466866666666666,7.05
1978,7.613990833333333,6.066666666666666
1979,11.224073333333333,5.85
1980,13.5276275,7.175
1981,10.395373333333334,7.616666666666667
1982,6.189205,9.708333333333334
1983,3.1649675,9.6
1984,4.3702491666666665,7.508333333333334
1985,3.528475,7.191666666666666
1986,1.9503158333333335,7
1987,3.5768941666666665,6.175
1988,4.0985716666666665,5.491666666666667
1989,4.7920766666666665,5.258333333333334
1990,5.414255,5.616666666666667
1991,4.23172,6.85
1992,3.0411825,7.491666666666667
1993,2.9712566666666667,6.908333333333333
1994,2.595101666666667,6.1
1995,2.8066283333333333,5.591666666666667
1996,2.93558,5.408333333333333
1997,2.340825,4.941666666666666
1998,1.5470458333333332,4.5
1999,2.1914783333333334,4.216666666666667
2000,3.366,3.966666666666667
2001,2.8224333333333336,4.741666666666667
2002,1.5949208333333333,5.783333333333333
2003,2.3001883333333333,5.991666666666666
2004,2.666155,5.541666666666667
2005,3.3633308333333334,5.083333333333333
2006,3.2325091666666665,4.608333333333333
2007,2.8693133333333334,4.616666666666667
2008,3.8256916666666667,5.8
2009,-0.3073883333333334,9.283333333333333
2010,1.6407333333333334,9.608333333333334
2011,3.1388925,8.933333333333334
2012,2.0765966666666666,8.075
2013,1.4672883333333333,7.358333333333333
2014,1.6166291666666668,6.158333333333333
2015,0.12083916666666668,5.275
2016,1.2666808333333335,4.875
2017,2.1326716666666665,4.358333333333333
2018,2.439754166666667,3.8916666666666666
2019,1.8122833333333332,3.675
2020,1.2530883333333334,8.091666666666667
2021,4.6778233333333334,5.35
2022,7.993884166666667,3.6333333333333333
2023,4.15384,3.625
